date,text,verdict
March 6 2019,"In Wisconsin, because a key provision of the Voting Rights Act was not in effect,  ""somewhere between 40,000 and 80,000 people were turned away from the polls (in 2016) because of the color of their skin"" and other factors.",5
October 10 2017,"""There have been more than 270 mass shootings in the United States in the last year alone. That’s where four or more are killed.""",4
October 4 2017,"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",4
June 9 2017,"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election. ",3
November 6 2016,"Under Donald Trump's tax plan, ""51 percent of single parents would see their taxes go up."" ",0
November 4 2016,"Says Donald Trump ""says organized crime runs wild on reservations.""",2
November 3 2016,"Says Donald Trump ""wants to undo marriage equality.""",0
November 2 2016,"Says Donald Trump ""doesn't believe in equal pay.""",2
November 1 2016,"Says of Donald Trump, ""He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms.""",0
October 31 2016,"""Donald Trump's strategy is pretty simple. They have even said in his campaign it's to get women to stay home, get young people to stay home, get people of color to stay home, and get a lot smart, intelligent men to stay home, too.""",2
October 30 2016,"Says FBI Director James Comey’s letter about new developments in the investigation into her emails ""only"" went ""to Republican members of the House.""",4
October 28 2016,"""We are seeing kids who are healthier.""",2
October 27 2016,"""One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.""",2
October 26 2016,"Says Donald Trump ""was asked if he would defend our allies. He said well, first he'd want to know if they made any payments to us to defend them.""",0
October 25 2016,"Says Donald Trump is ""the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.""",1
October 25 2016,"""Donald Trump says he'd deport 16 million people.""",2
October 24 2016,"""400 bills have my name on them either as a sponsor or a co-sponsor. You don’t get that done unless you work with folks on the other side.""",2
October 24 2016,"In 1928 ""school boards sent home letters with children saying that if Al Smith is elected president, you will not be allowed to have or read a Bible.""",2
October 20 2016,"""What I have put forward does not add a penny to the debt."" ",2
October 20 2016,"""There was even a time when (Donald Trump) didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged.""",2
October 20 2016,"Says Donald Trump ""said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.""",1
October 20 2016,"Says Donald Trump ""used undocumented labor to build the Trump Tower.""",0
October 19 2016,"""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.""",0
October 19 2016,"""What the District of Columbia was trying to do (with its handgun ban) was to protect toddlers from guns.""",2
October 19 2016,"""We have 33,000 people a year who die from guns.""",1
October 18 2016,"""Back in the Great Recession, when millions of  jobs across America hung in the balance, Donald Trump said rescuing the auto industry didn’t really matter very much. He said, and I quote again, ‘Let it go.’ "" ",5
October 18 2016,"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him.",0
October 13 2016,"""We've had Muslims in America since George Washington.""",0
October 11 2016,"Says Donald Trump’s tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""",0
October 11 2016,"""We are now, for the first time ever, energy independent.""",4
October 11 2016,"Says Paul Ryan ""is still endorsing Trump.""",0
October 10 2016,"""I was gone"" when there was a red line against Syria.",3
October 10 2016,"""You can look at the propaganda on a lot of the terrorists' sites and what Donald Trump says about Muslims is used to recruit fighters.""",0
October 9 2016,"""Right now we are at 90 percent health insurance covered. That's the highest we've ever been in our country.""",0
October 2 2016,"The Great Recession emerged ""in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.""",3
September 27 2016,"""The only years that anybody's ever seen"" of Donald Trump’s tax returns ""showed he didn't pay any federal income tax.""",3
September 27 2016,"Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",0
September 27 2016,"According to ""independent experts,"" Donald Trump's tax plan ""would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.""",0
September 26 2016,"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",2
September 26 2016,"""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""",0
September 26 2016,"Says Donald Trump once suggested that he ""would try to negotiate down the national debt.""",1
September 26 2016,"Says Donald Trump ""was one of the people who rooted for the housing crisis. He said back in 2006, ‘Gee, I hope it does collapse because then I can go in and buy some and make some money.’ """,1
September 21 2016,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2
September 21 2016,"Says comprehensive immigration reform ""will add $700 billion to our economy."" ",2
September 19 2016,"""Latinos are 17 percent of our country's population but hold only 2 percent of its wealth.""",0
September 16 2016,"Says she ""would bring 186,740 new jobs to Wisconsin"" and ""Donald Trump would cost Wisconsin 61,050 jobs.""",2
September 14 2016,"""Trump Management was charged with discriminating against African-Americans and breaking federal law.""",0
September 14 2016,"""You've got a medical report on me that meets the same standard as Mitt Romney and Barack Obama.""",1
September 9 2016,"""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places.""",3
September 7 2016,"Says Donald Trump is ""on record extensively supporting (the) intervention in Libya.""",1
September 7 2016,"""Classified material has a header which says ‘top-secret, secret, confidential.’ Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.""",1
September 7 2016,"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.",3
September 1 2016,"Says Alex Jones ""said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.""",0
August 31 2016,"The Clinton Foundation ""took steps that went above and beyond all legal requirements and, indeed, all standard requirements followed by every other charitable organization.""",2
August 26 2016,"""Parents and teachers are already worrying about what they call the ‘Trump Effect.’ They report that bullying and harassment are on the rise in our schools, especially targeting students of color, Muslims and immigrants.""",1
August 22 2016,"""Almost half a million people are still eligible (for DACA), particularly in the Asian-American and Pacific Islander community.""",0
August 17 2016,"""I am the only candidate who ran in either the Democratic or the Republican primary who said from the very beginning (that) I will not raise taxes on the middle class.""",5
August 17 2016,"Says her campaign platform includes the ""biggest investment in new, good-paying jobs since World War II.""",2
August 12 2016,"""I opposed the only multilateral trade deal that came before the Senate while I was there.""",2
August 12 2016,"Says Donald Trump ""has been talking about the option of using a nuclear weapon against our Western European allies.""",3
