date,text,verdict
June 30 2017,"France ""wouldn’t buy Texas beef for some reason, yet 76 percent of their energy comes from nuclear power.""",1
June 22 2017,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",4
February 27 2016,"""Building a wall"" on the U.S.-Mexico border ""will take literally years.""",0
August 2 2015,Says Donald Trump is for a single-payer health care system.,2
July 26 2015,"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",3
July 20 2015,"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",3
June 19 2015,"""Texas now has the second-highest high school graduation rate in the country. And it has the highest graduation rate for African Americans and Hispanics.""",1
June 8 2015,"""In the last seven years of my tenure, Texas created 1.5 million new jobs. As a matter of fact, without Texas, America would have lost 400,000 jobs.""",1
June 5 2015,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",3
June 3 2015,"""One out of five of our children live in a family that’s on food stamps.""",0
May 7 2015,On reauthorization of Export-Import Bank.,4
April 15 2015,On in-state tuition for unauthorized immigrants.,2
March 9 2015,"""Thomas Paine wrote that ‘the duty of a patriot is to protect his country from his government.’""",4
March 4 2015,"""At this particular point in time, looking at the field, there’s only one individual that’s ever had the uniform of his country on—and that’s me.""",2
March 2 2015,"""America produces more oil and gas than any other nation in the world.""",0
February 12 2015,"""Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris.""",4
February 12 2015,"""When I came into office, our vaccination rate in Texas was 65 percent. When I left two weeks ago, it was 95 percent.""",4
February 3 2015,"Texas has ""the lowest crime rate in this state since 1968"" because of changes in law regarding nonviolent drug offenders.",2
January 26 2015,"The U.S. unemployment rate has ""been massaged, it’s been doctored.""",5
January 22 2015,"Starting in December 2007, ""1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.""",1
January 13 2015,"""I belong to the AFL-CIO."" ",0
August 15 2014,"Congress is ""on a five-week vacation.""",3
August 3 2014,"The United States is at ""historic record highs"" of individuals being apprehended on the border from countries with terrorist ties such as ""Pakistan or Afghanistan or Syria.""",5
July 31 2014,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.",2
July 23 2014,"More than 3,000 homicides were committed by ""illegal aliens"" over the past six years.",5
July 18 2014,Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.,1
June 22 2014,"Says of flood of non-Mexicans being apprehended at the border: ""These are people that are coming from states like Syria that have substantial connections back to terrorist regimes and terrorist operations.""",5
June 18 2014,"A record number of immigrants not from Mexico are ""being apprehended at the border.""",0
May 26 2014,"Since 2000, Texas has reduced ""harmful pollutants in the air like nitrogen oxide by 62.5 percent, and ozone by 23 percent--a reduction that is 12 percent greater than the national average."" ",2
March 12 2014,"""If you rent a U-Haul to move your company, it costs twice as much to go from San Francisco to Austin than the other way around, because you can’t find enough trucks to flee the Golden State.""",0
January 28 2014,"Texas added 6,600 miles of highway from 2001-2012, more than any other state.",2
September 20 2013,"""Ninety-five percent of all the wages in Texas are above minimum wage.""",1
September 20 2013,"""Every engine manufacturer in the United States is now in the state of Texas.""",4
August 30 2013,"""Every year, more than $40 million are leaving Missouri for the Lone Star State.""",2
July 11 2013,Says a growing number of extremely premature babies survive into healthy childhood.,1
July 5 2013,"""Abortion is the second-most conducted surgical procedure in this country.""",5
June 28 2013,"Says Wendy Davis, ""born into difficult circumstances,"" was the daughter of a single mother and a teenage mother herself.",2
June 21 2013,Says the 2014-15 Texas budget increases spending by less than the rate of inflation and population growth.,1
June 19 2013,Says New York has ‘bureaucrats telling you whether you can even drink a Big Gulp.’,3
June 12 2013,Says Texas law requires state agencies to give preference to goods produced and grown in Texas.,0
May 31 2013,"Says 13 Texas universities ""have announced or implemented a $10,000 degree.""",3
May 22 2013,Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.,2
May 9 2013,"""Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.""",0
April 25 2013,"Says he has ""yet to get a response"" from Barack Obama to his August 2010 letter making border security requests.",5
April 9 2013,"Says Obama called Medicaid ""broken"" four years ago.",1
April 1 2013,"""Only three in 10 Texas doctors are currently accepting new Medicaid patients.""",3
March 21 2013,"Says Houston is ""home to more doctors, more nurses, more researchers than any other place in the world.""",4
February 11 2013,"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago.""",1
January 16 2013,Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,4
October 19 2012,Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.,0
September 25 2012,Says Barack Obama has added $16 trillion to the national debt.,4
June 18 2012,"Barack Obama has ""provided guns to Mexican drug cartels.""",2
June 8 2012,Says Barack Obama has played nearly 100 rounds of golf as president.,0
March 28 2012,Says you need a photo ID to purchase Sudafed in Texas.,0
March 23 2012,"Says that in fiscal year 2010, ""nearly 80 percent of women served"" in the Texas Women’s Health Program received services from a provider other than a Planned Parenthood clinic.",2
March 11 2012,"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",1
February 29 2012,Says there’s no proven instance where hydraulic fracking has polluted groundwater.,1
February 10 2012,Says he signed legislation leading to 12 Texas abortion clinics being closed.,3
January 8 2012,"Says President Barack Obama ""is a socialist.""",5
January 3 2012,"""Santorum also voted for a teapot museum in North Carolina.""",2
January 2 2012,Says Rick Santorum voted for the Bridge to Nowhere.,1
December 28 2011,On instances when abortions should be allowed.,2
December 22 2011,Says Mitt Romney raised business taxes 20 percent in Massachusetts.,1
December 19 2011,"A study says Massachusetts has lost 18,000 jobs because residents were required to obtain health insurance under an act signed into law by Mitt Romney.",3
December 18 2011,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,5
December 16 2011,Says the Obama administration catches and releases nonviolent illegal immigrants.,2
December 11 2011,"Says the paperback edition of Mitt Romney's book deleted line that Massachusetts' individual mandate ""should be the model for the country""",3
December 9 2011,"Our ""kids can’t openly celebrate Christmas or pray in school.""",4
November 30 2011,"""A part-time Congress with half the pay would still make $38,000 a year more than the average American family.""",1
November 22 2011,"""When you sanction the Iranian central bank, that will shut down (Iran's) economy.""",2
November 22 2011,"""I have sent over $400 million to the border of Mexico in the form of Texas Ranger recon teams.""",3
November 17 2011,Says President Barack Obama thinks Americans are lazy.,3
November 15 2011,"Under energy efficiency legislation sponsored by U.S. Sen. Jeanne Shaheen, ""federal bureaucrats could take over the local building code enforcement in your city if so-called ‘green mandates’ are not complied with quickly enough.""",4
November 14 2011,"""We cut a record $15 billion from our state budget.""",2
November 7 2011,"""We spend half a trillion dollars a year in tax preparation.""",3
November 7 2011,"Says that under his tax plan, ""no matter where you are in the stratosphere, you're going to be getting a tax cut.""",4
November 5 2011,Says Mitt Romney has flip-flopped on abortion rights.,0
October 31 2011,"Says that ""we brought CHI Manufacturing, that had business in China, back to"" Texas.",3
October 26 2011,"""In Texas, we created over 1 million new jobs while the rest of the nation lost over 2 million.""",2
October 23 2011,"""Our president has labeled Americans as soft.""",2
October 21 2011,"""We cut property taxes by one-third in the state of Texas while I’ve been governor.""",3
October 21 2011,"""Romneycare was model for Obamacare.""",0
October 14 2011,"""Romneycare has … killed 18,000 Massachusetts jobs.""",3
