date,text,verdict
July 27 2017,"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",1
June 28 2017,"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",2
May 23 2017,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",5
December 12 2016,"""We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.""",0
November 6 2016,"""There’s a section in the Constitution called the Emoluments Clause that says no one, nor their spouses, can take money from foreigners. (Hillary Clinton) has to be guilty of 70 or 100 counts just on that one charge.""",3
October 27 2016,"In the Paula Jones case, Bill Clinton paid an ""$850,000 penalty.""",2
September 23 2016,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",2
July 20 2016,"Says ""Hillary (Clinton) wants to increase the number (of Syrian refugees) by 500 percent.""",1
July 20 2016,"""Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately, that 9 percent is 16 million people. And that’s just one country.""",1
May 27 2016,"""No one in American history has moved from a June 16 announcement to a May 26 winning of a majority. Trump's achievement is remarkable.""",5
May 17 2016,"""The Chinese last year probably stole $360 billion in intellectual property from the United States.""",1
June 30 2015,"Says Amazon has removed ""an educational game about Gettysburg."" ",2
April 26 2015,"The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state ""is clearly illegal. … The Constitution says you can’t take this stuff.""",3
January 6 2015,"Says President Barack Obama got ""a pass"" over controversal remarks by Rev. Jeremiah Wright, while a 12-year-old speech by House Majority Whip Steve Scalise has blown up into a national story.",4
July 8 2014,"Says Hillary Clinton's health care plan from the 1990s ""had a broader provision in favor of corporate right to back out"" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.",4
December 15 2013,"""Every major city which has a center of poverty is run by Democrats. Every major city.""",3
October 4 2013,"Shutdowns are ""a normal part of the constitutional process,"" with 12 shutdowns under Democratic House Speaker Tip O’Neill and two during his own speakership.",2
September 26 2013,"""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",1
September 20 2013,"Since 2007, ""Texas has gained 440,000 people"" while ""Maryland has lost 20,000.""",2
July 24 2013,"""Gangs have increased by 40 percent since this president was elected.""",2
May 7 2013,"The labor market is weak because if you count the unemployed, underemployed, and those who’ve stopped looking for work,  the unemployment rate ""actually went up last month to 13.5 percent.""",2
