date,text,verdict
February 5 2019,"During the three times the top marginal tax rates were lowered in the 20th century, ""revenues actually went up while the economy improved in America.""",3
December 7 2018,On taking major actions in a lame-duck session.,4
November 2 2018,"Says Tony Evers wants to give in-state tuition and drivers licenses to ""illegal aliens.""",1
October 24 2018,"Says Tony Evers will ""raise the gas tax by as much as a dollar a gallon.""",3
October 11 2018,"Says Tony Evers will ""raise property taxes, raise income taxes and raise gas taxes by as much as a dollar a gallon.""",2
September 26 2018,"""Tony Evers says that tax dollars should pay for the abortions just like they pay for tonsillectomies.""",1
September 21 2018,"Says Tony Evers ""wants to cut Wisconsin's prison population in half, a dangerous plan that today would mean releasing thousands of violent criminals back into our communities.""",2
September 13 2018,"""A teacher watched hard-core pornography in his classroom,"" along with other inappropriate behavior, but Tony Evers didn't revoke the teacher's license and ""the teacher is still in the classroom.""",3
August 9 2018,"""A number of Democrats running for governor want to cut the prison population by 50%"" and ""that would require the release of thousands of violent felons."" ",2
August 3 2018,"Says he made ""a record investment in schools."" ",3
July 5 2018,"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",4
June 22 2018,"""Since taking office, we have enacted more than $8 billion in cumulative tax relief."" ",0
May 30 2018,"""Property and income taxes will be lower in 2018 than they were in 2010.""",1
April 18 2018,"""Our bold reforms have Wisconsin’s unemployment rate down to an all-time LOW of 2.9 percent, and the number of people working at an all-time HIGH!"" ",2
April 11 2018,"Says ""Eric Holder and his group came in and made"" the Wisconsin Supreme Court race ""highly partisan.""",3
February 6 2018,"""We invested"" in our transportation system ""$24 billion over eight years. That’s $3 billion more than what former Governor Jim Doyle spent on transportation over the same period of time.""",3
January 31 2018,"Says Paul Soglin took Madison backward -- ""businesses have left and murders have gone up."" ",3
January 26 2018,"""Road projects across the state are staying on track or getting done sooner thanks to the good work of the team at the Wisconsin Department of Transportation."" ",3
October 25 2017,On NFL players protesting during the national anthem. ,2
August 25 2017,"Says Foxconn didn't keep a promise to build a plant in Pennsylvania because ""Pennsylvania changed governors."" ",3
August 23 2017,"""We took Wisconsin from the Bottom 10 for business to the Top 10.""",3
July 27 2017,"""Foxconn is bringing 13,000 high-tech jobs to Wisconsin."" ",2
July 12 2017,"Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""  ",0
June 30 2017,"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year."" ",3
June 7 2017,"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin. ",1
May 17 2017,"""We are investing more money into education than ever before in the history of Wisconsin.""",3
