date,text,verdict
May 14 2019,"""Race is the No. 1 indicator for where toxic and polluting facilities are today.""",1
May 7 2019,"""60 million Americans live in a place where the water they drink is unsafe.""",3
April 23 2019,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""",1
March 19 2019,"""Nearly half of public school teachers in Texas are working a second or a third job, not for kicks, not for extra spending cash, but just to make ends meet.""",2
February 15 2019,"When visa holders exit the United States and enter Mexico, ""if they leave through a land port of entry we literally have no clue if they are still here or have returned to their country of origin.""",1
October 18 2018,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz. ",0
October 5 2018,"Says marijuana is ""legal in most states in this country.""",3
October 4 2018,"Says that in Texas, ""you can be too gay to adopt"" a foster child ""who needs a loving home."" ",2
September 25 2018,"Says he ""did not try to leave the scene of the accident"" that led to his arrest for driving while intoxicated.",3
August 23 2018,"Says ""black Americans have 10 times less wealth than white Americans.""",1
August 20 2018,"""I don’t take a dime of PAC money.""",0
August 16 2018,"""Texas is one of the most gerrymandered states in the union.""",1
May 3 2018,"Says ""precisely zero terrorists, terrorist groups or terror plots have ever been connected with the U.S.-Mexico border to do harm to people within the United States.""",4
March 15 2018,"Says ""PTA meetings are now being conducted to help parents tell their kids"" that if a guy with an AR-15 walks into their classroom, ""you are supposed to create as much chaos as you possibly can. They want you to scream and yell and dance around and throw books and just keep moving.""",0
January 10 2018,On requiring young people to perform national service.,4
September 14 2017,"Says ""the latest polls show us tied neck-and-neck"" with Sen. Ted Cruz.",2
July 27 2017,"""I’m one of two members of Congress out of 535 that takes no corporate cash, no political action committee money.""",2
April 14 2017,"El Paso is the ""safest city in the state of Texas, safest city in the United States.""",2
July 13 2014,"""This president has offered fewer executive actions than almost any other president preceding his presidency in recent history.""",2
