date,text,verdict
November 11 2015,"""Only one out of five of the so-called ‘Syrian refugees’ who went into Europe were actually Syrian.""",3
October 19 2015,"The Washington D.C.-area ""never has a recession.""",4
September 29 2015,"""Six of the 10 richest counties in the United States surround Washington, D.C.""",0
September 17 2015,"The government ""made accommodation to the Fort Hood shooter to let him grow a beard"" for religious reasons. ",3
September 16 2015,"""We've just now given over $100 billion"" to Iran, ""the equivalent in U.S. terms is $5 trillion."" ",2
August 12 2015,"""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""",3
August 7 2015,"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",2
June 4 2015,"""Sixty million Americans depend on Social Security, and one-third of all the seniors in America depend on Social Security for 90 percent of their income.""",1
May 29 2015,"The Supreme Court ""can’t overrule the other two"" branches of government. ",3
May 4 2015,"Says he ""raised average family income by 50 percent"" during his tenure as Arkansas governor.",3
November 22 2013,"""You've got more people wanting to go moose hunting in New Hampshire than want Obamacare.""  ",2
August 29 2013,"""America’s gun-related homicide rate … would be about the same as Belgium’s if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.""",5
July 30 2012,"""The White House has three staff calligraphers making between $86,000 and $97,000 each, and just one National Security Director. She makes $55,000.""",3
April 12 2012,President Obama's refusal to grant permits for offshore drilling is one reason gasoline prices are soaring.,5
March 10 2011,"Says it’s a ""statistical reality that most single moms are very poor, under-educated, can't get a job, and if it weren't for government assistance, their kids would be starving to death.""",3
March 2 2011,Says Barack Obama grew up in Kenya.,4
September 4 2008,"Sarah Palin ""got more votes running for mayor of Wasilla, Alaska, than Joe Biden got running for president of the United States.""",5
February 8 2008,"""I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...""",0
February 7 2008,"""When I was in college, we used to take a popcorn popper . . . and we would fry squirrel.""",0
January 31 2008,"""Every billion dollars we spend on highway construction results in 47,500 jobs. But the fact is the average American is sitting in traffic 38 hours a year.""",3
January 31 2008,"""Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren.""",2
January 25 2008,"""The average American is working through the month of May just to pay off the government.""",2
January 24 2008,Says he was the only Republican candidate at a prior debate who said lower-income workers were being hurt by the economy.,3
January 23 2008,"""When the Fair Tax becomes law, it will be like waving a magic wand releasing us from pain and unfairness.""",4
January 11 2008,"""I took on the worst road system in the country, according to Trucker's magazine. When I left, they said it was the most improved road system in the country.""",1
January 11 2008,"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",0
January 10 2008,"Says Time magazine called him ""one of America's best governors.""",0
January 6 2008,"""I supported the surge when you didn't.""",4
January 3 2008,"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",2
December 28 2007,"Romney refused to pardon ""a decorated soldier"" returning from Iraq who had been charged with a crime involving a BB gun when he was 13.",0
December 27 2007,"Says he has ""the most impressive education record"" of the Republican candidates.",2
December 3 2007,"MikeHuckabee.com gets ""more hits than virtually any other presidential candidate.""",0
November 29 2007,"Supported in-state tuition in Arkansas for illegal immigrants ""if you'd sat in our schools from the time you're 5 or 6 years old and you had become an A-plus student,"" among other things.",3
November 27 2007,"""Fred's never had a 100 percent record on right-to-life in his Senate career. The records reflect that. And he doesn't support the human life amendment, which is most amazing because that's been a part of the Republican platform since 1980.""",2
November 14 2007,"""As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.""",2
October 23 2007,"The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""",5
October 5 2007,"""The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.""",3
October 3 2007,"""He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.""",0
September 19 2007,"""Sixty-one percent of our active military are currently listed as overweight.""",1
September 6 2007,"""I would love to see us have in this country what I helped lead in Arkansas...Amendment 65 (which) says that we believe life begins at conception, and that we ought to do everything in the world possible to protect it until its natural conclusion.""",3
August 7 2007,"""I'll tell you what I can tell this country: If they want a president who doesn't believe in God, there's probably plenty of choices.""",4
